feature_name,importance
gradient_glcm_Imc2,0.12305353
wavelet_HLH_glszm_LowGrayLevelZoneEmphasis,0.086119086
squareroot_glrlm_RunEntropy,0.08033494
lbp_3D_k_glszm_SmallAreaLowGrayLevelEmphasis,0.0762849
gradient_glszm_ZoneEntropy,0.07445868
original_shape_Elongation,0.07103487
squareroot_glszm_GrayLevelVariance,0.06488122
wavelet_HLL_firstorder_Kurtosis,0.06384746
square_firstorder_Range,0.061797
squareroot_firstorder_Kurtosis,0.05937811
wavelet_LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.050825246
exponential_glrlm_ShortRunEmphasis,0.04991562
exponential_glrlm_GrayLevelNonUniformity,0.04875442
wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis,0.046873957
lbp_3D_m1_glrlm_GrayLevelNonUniformityNormalized,0.04244094
