feature_name,Log(OR),lower 95%CI,upper 95%CI,OR,OR lower 95%CI,OR upper 95%CI,p_value
nipple_discharge,-0.927,-1.902,0.048,0.396,0.149,1.049,0.118
breast_pain,-0.693,-1.455,0.068,0.5,0.233,1.07,0.134
echogenic_foci,-0.17,-0.474,0.134,0.844,0.623,1.143,0.358
skin_lesions,-0.154,-1.069,0.761,0.857,0.343,2.14,0.782
margin,-0.14,-0.29,0.011,0.87,0.748,1.011,0.127
Blood_flow,-0.054,-0.186,0.077,0.947,0.83,1.08,0.498
short,-0.014,-0.167,0.138,0.986,0.846,1.148,0.878
age,-0.007,-0.013,-0.001,0.993,0.987,0.999,0.043
long,0.04,-0.045,0.125,1.041,0.956,1.133,0.436
Inflammatory_indicators,0.154,-0.761,1.069,1.167,0.467,2.912,0.782
angular,0.442,-0.261,1.145,1.556,0.77,3.142,0.301
